Tweets,Sentiment
" 'मध्य प्रदेश के मंत्री का विवादित बयान कोरोना से हुई मौतों को कोई रोक नही सकता जब मरने की उम्र हो जाती है तो मरना ही पड़ता है कोई रोक नही सकता ।"" सही बोले #बीजेपी के मंत्री #प्रेम_सिंह_पटेल जी ।फिर आप जैसे अनपढ़ ,जाहिल,गंवार विधायक मंत्री की भीकोई जरूरत नही लोग सब काम खुद कर लेंगे https://t.co/ILCLlwBuTN',",positive
" '@AimraIndia @nitin_gadkari @minmsme @narendramodi @dir_ed @PiyushGoyal @PiyushGoyalOffc @CimGOI @DIPPGOI @CCI_India @PrakashJavdekar @AmitShah @nsitharaman @ReutersIndia @CAITIndia जब वोट लेने की बारी आती है यो व्यापारी याद आते है और जब पॉलिसी बनाने की बात आती है तो ऑनलाइन वाले\n2019 के चुनाव में वोट लेने के लिए व्यापारियों के हाथ मे एक पालिसी का झुनझुना पकड़ा दिया गया था अब 2024 में फिर नया झुनझुना पकड़ा देंगे #बीजेपी बड़ा जुमला पार्टी',",negative
" '@khanumarfa ब्रिटिश साम्राज्यवाद की तरह #बीजेपी के लोग देश पर हुकूमत चाहते हैं, इसके लिए वो दिन रात एक किए हुए हैं, जब ऐसा होगा तो तानाशाही रवैया अपनाने की कोशिश होगी, जिसमें जनता तरबूज के तरह होता है कि चाकू गिरे तरबूज पर या तरबूज गिरे चाकू पर, कटना तो तरबूज को ही है!',",positive
" 'बेशर्मी की भी हद है।#बीजेपी सरकार',",positive
" '#बंगाल में पप्पू राहुल की पहली रैली में ही बीजेपी के लिए स्टार प्रचारक का धमाका🔥\n\n#बीजेपी और TMC गठबंधन हैं और दोनों मिले हुए हैं पप्पू राहुल का बयान🤣😄\n\n#ये नचनिया सोनिया का नालायक बेटा पप्पू राहुल देशद्रोही कांग्रेस को पूरी तरह डूबा देगा और सोच रहा हैं डुबो दूँ✍🤔😄',",negative
" '@TheAbhishek_IND बिल्कुल सही कहा आपने यही बात है #कांग्रेस को कोसते रहो अब कोन सी खीर खा रहे हो #बीजेपी मे बताओ',",positive
" 'आप सब को बताना भूल गया था। कि मंगलवार को हमारा ट्विटर परिवार  ने #गृहमंत्री श्री अमित शाह जी के साथ मीटिंग की । और सोचा की बंगाल की सभी सीटें #बीजेपी को चाहिए । \n\nतो फिर हम सबने सोचा कि अब बंगाल में बीजेपी  🌟 प्रचारक को बुलाया जाए । \n\nतो कल हम सब बीजेपी 🌟 प्रचारक से मिले । 🙏🙏 https://t.co/08eWMDWWLe',",positive
" '@narendramodi जी, आज 2 लाख प्रतिदिन #कोरोना केस के बावजूद #भारत की बंदी क्यों नही.?\n\nफिर पिछले वर्ष 2 हजार पर संपूर्ण #लॉकडाउन क्यों किया गया था.?\n\nक्या यह #बीजेपी सरकार की असफलता नही है.?\n@PMOIndia\n#कोरोना_हारेगा_जीतेगा_हिंदुस्तान',",positive
" '@narendramodi सबको पता है #बीजेपी को सिर्फ बंगाल चुनाव दिखती है जिसको जीतकर #सत्ता पर काबिज होना है । देश की जनता जिये या मरे , इससे #बीजेपी को क्या मतलब।',",positive
" 'महाराष्ट्र और छत्तीसगढ़ की भी स्थिति बदतर है।\n #कांग्रेस और #बीजेपी दोनों देश के नाम पर देश को धोखा देते हैं।\n#Boycottelection',",positive
" 'अब एक फिर #मोदी आए और कहे मित्रों ये मुसीबत का  सामना करना है तो पहले #बीजेपी वालो को बजाओ फिर आकर मुझे यानी मोदी को बजाओ और कॉरोना को भगाओ https://t.co/2f48S0ekDw',",positive
" '@RahulGandhi शुरू से ही #कोरोना के बारे में चेताते रहे हैं लेकिन #बीजेपी मज़ाक उड़ाती रही अब #कोरोना #बीजेपी का मजाक उड़ा रहा हैं 🤣🤣\n\n#मोदी_सरकार_ध्यान_दो #Covid #COVIDSecondWaveInIndia #CoronaCurfew #vaccinated #ModiLies #ModiGovtSeNaHoPayega #ModiFailsIndia #ModiMadeDisaster',",positive
" '#तृणमूल नेता #सुजाता मंडल खान के द्वारा #अनुसूचित जाति समुदाय के विरूद्ध अपमानजनक टिप्पणी करने पर बिहार #बीजेपी महानगर ने #राष्ट्रपति से की शिकायत...\n#बिहार_न्यूज #Bihar_News #BJP #TMC #President #DM #Patna\nhttps://t.co/UDE9oKoL9X',",negative
" '#कोरोना के कारण #पार्टी कार्यालयों में जड़ा ताला, पहले #आरजेडी, फिर #जेडीयू और अब #बीजेपी कार्यालय में बाहरी लोगों के प्रवेश पर लगी रोक....\n#बिहार_न्यूज #Bihar_News #BJP_Office #Corona\nhttps://t.co/ATzA4rxZQQ',",positive
" '@Samaachaar_r हमारे लिए कुछ बोलो जो हमारी सरकार जिला अधिकारी @DMOHaridwar हमारी समस्याओं पर कोई संज्ञान नहीं ले रहे हैं।आखिर क्यों???\nक्या यही इंसाफ है हमारे पीड़ित किसान परिवार के लिए।क्या उत्तराखंड सरकार #बीजेपी @TIRATHSRAWAT हमें पीड़ित देखकर खुश हैं।',",negative
" 'सुनिये, #बीजेपी के नमुने को....\nऐसे #बीजेपी मे नमुनों की भरमार है। https://t.co/qd9doPEC77',",positive
" '@RubikaLiyaquat *महामारी के 1 साल बाद भी दवाई नहीं मिल रही है,*\n*तो डॉक्टर को गाली मत बको....*\n*अस्पताल में बेड नहीं मिल रहा है,*\n*तो डॉक्टर को मत मारो,*\n*डॉक्टर को वोट नहीं दिया था तुमने ...*\n\n*हम हॉस्पिटल के लिए लड़े ही कब थे ?*\n*हम तो #बीजेपी के लिए लड़े थे \n\n 🙏😷 *जो आज चुनाव में बिजी है..',",positive
" 'वायरस बुरी तरह फैल चुका है अभिवावकों से गुजारिश है कि मरने से पहले बच्चों की फीस जमा करा दें\n\n#प्राइवेट_स्कूल\n#बीजेपी #BJP #bangal_election\n#news #viralvideo \n#NarendraModi \n#AkhileshYadav',",positive
" '#EXCLUSIVE : #बीजेपी नेता ने वीडियो वायरल कर कहा- #असम के #बोडो_पीपुल्स_फ़्रंट के प्रत्याशियों को रेस्ट हाउस में ठहराया गया...\n#Exclusive #BJP #videoviral #politics #PoliticsLive #BodolandPeoplesFront @BJP4CGState @INCChhattisgarh @KedarKashyapBJP   \n\nhttps://t.co/9ePdjOBJXp',",positive
" 'मोदी जी के बारे में इतने बुरे विचार फिर भी #बीजेपी  सरकार में मंत्री ? @ShivrajSinghMP',",positive
" 'सब राजनीति हो रही है मिल कर एक बहुत बड़ा गेम प्लान ही रहा है सब राजनीति है #बीजेपी सरकार की ।।  कोरोनो जब चाइना से खत्म हो गया है तो अपने देश में क्यू खत्म होने के नाम क्यू नही ले रहा है । और ये cowin विक्सिन से लोग मार क्यू रहे है इस का जवाब पूछ ती है आम जनता ।',",positive
" '#बीजेपी सरकार मिल कर एक गेम प्लान कर रही है बच्चों का भविष्य को खराबा कर रही है । जब #कोरोना की #विक्सन  बन गई है तो लोग की मौत क्यू हो रही है । और हमारे बच्चों के भविष्य के साथ खिलवाड़ क्यू हो रहा है प्रमोट कर के बच्चो के ज्ञान को खत्म किया जा रहा है ।',",positive
" 'ये #कोरोना विदेशी वायरस है इस लिए अच्छे #हॉस्पिटल और व्यवस्था मांग रहा है, बिकाऊ नेता होता #बीजेपी ने खरीद लिया होता। \n#KumbhMela2021 #Gujarat #BangalElection2021 #Mumbai #IPL #AmbedkarJayanti2021',",negative
" '@DelhiPolice4 वीडियो सोशल मीडिया पर वायरल हो रही है। बताया जा रहा #बीजेपी का कोई रिंकू गुप्ता नामक नेता अपने साथियों के साथ #वर्दी को शर्मसार कर रहा है अपने उत्तम नगर स्थित रिफार्म् जिम में @AmitShah जी मामले पर त्वरित संज्ञान लेंगे। @narendramodi जी @PMOIndia @rashtrapatibhvn https://t.co/shKJW0Usv7',",negative
" '@rautsanjay61 @ShivSena @sardanarohit @anjanaomkashyap 👉 1 #PMCaresFund  का पैसा कहाँ गया???\n👉 2  महाराष्ट्र मै #बीजेपी के (108 विधायक ) +(25 सांसद) = लाखो करोडो रुपये कि तनख्वाह उठाते है यह इस समय कहा है???  कया यह अपने परिवार को पालने के लिए हे???  @SonuSood  जैसे लोग आगे बढ़',",negative
" 'पिता श्री मोतीलाल जी के द्वारा दी गई प्रदेश सहयोग निधि 2013 जो अब #BJP सरकार के द्वारा #PMKSNY के तहत ₹6000 वार्षिक प्राप्त करते है #बीजेपी @upbjpitcell @BJP4UP https://t.co/jt3hLKtybe',",positive
" '@Arunpatelsdl @ChouhanShivraj @aajtak @ABPNews @sakshijoshii @CMMadhyaPradesh @narendramodi @JansamparkMP @AimraIndia @CAITIndia @dmshahdol @commissionerSdl @shahdol_police @JdshahdolC #शहडोल #shahdol #बीजेपी #BJP\n माननीय मुख्यमंत्री जी जवाब दें क्या केवल दुकानदार करोना बेचता वा फैलाता है❓🤔\n@ChouhanShivraj @aajtak @ABPNews @sakshijoshii @CMMadhyaPradesh @narendramodi @JansamparkMP @AimraIndia @CAITIndia @dmshahdol @commissionerSdl @shahdol_police @JdshahdolC',",positive
" '#बीजेपी पूरी तरह से corona को रोकने में असमर्थ है \nबीजेपी रोजगार देने में भी असमर्थ \nबीजेपी सब कामों में असमर्थ ही\nसिवाय बाते करने में बीजेपी आगे है\n#BJPFailsIndia \n#BjpResponsibleForCoronaInIndia',",positive
" '@WasimAkramTyagi @DelhiPolice कोई बात नही, पहले दिल्ली पुलिस ये चेक करेगी पीटने वाले का संबंध #बीजेपी से तो नहीं है, उसके बाद कार्यवाही की सोचेंगे!',",positive
" 'भयभीत होती स्थितियां परिस्थितियों की दशा बता रही है। सरकार की ऐसी ही तैयारी चलती रही \nतो 30 अप्रैल तक 17 हज़ार ऐसे कोरोना मरीज़ होंगे जिनको बेड मिलेंगे ही नही ।\nऑक्सीजन सिलिंडर और इजेक्शन की किल्लत खत्म होने का नाम नही ले रही है ।\n#Covid19 #MadhyaPradesh #Corona #कांग्रेस #बीजेपी',",positive
" '#बीजेपी हर राज्य में डंके की चोट पर कह रही है, #CAA लागू करेंगे..\nभावार्थ-भाड़ में जाओ पंचरपुत्रों हमें नहीं चाहिये तुम्हारा #वोट\nजो #हिंदू न समझे उसके #DNA में खोंट🤣',",positive
" '@INCMP हर हर महादेव\nयह है #बीजेपी का स्टार प्रचारक @RahulGandhi की छवि आम जनता के बीच।\n🤪😜😛😋🤣😂 https://t.co/z5rTUC78GM',",positive
" '@ssrajputINC बंगाल में लोग #बीजेपी को सत्ता सौंपने को आतुर है तुम कहते हो #बीजेपी को देश चलाना नहीं आता! #मोदी मैं लोगो को ईश्वर दिखता है !! माना की ताली और थाली ने कोई काम नहीं किया इंतजार करो कोई और टास्क ढूंढ कर लायेगे!!',",positive
" '#Modi केहता था ""सबका साथ सबका विकास"", विकास केवल #अंबानी #अदानी और #बीजेपी का हुआ हम जैसों का तोह सर्वनाश हुआ।\nडेड आंख वाला #रामदेव कहां गया जो 400 लाख करोड़ काला धन ला रहा था और पेट्रोल 35 रुपए लीटर करने की बात करता था।\n\n#भाजपा_ठग_पार्टी\n\n@yogrishiramdev @BJP4India',",positive
" '#Modi_killings_mandis\n#किसान_आंदोलन का डंका पूरे विश्व में बज रहा है, और #ModiEgo_KillingFarmers में पूरी #बीजेपी लगी है, https://t.co/mPICO9v5yR',",positive
" '#बीजेपी \nके \nसभी मुख्यमंत्रियों को अध्ययन करना चाहिए कि \nदेश का हर राज्य आखिर #योगी_जी \nजैसा ही CM क्यों चाहता है।\nहर हर महादेव 🙏\n#निस्वार्थत-कर्मयोगी',",positive
" '#बीजेपी के गुंडे खाकी को अपमान करते हुए\nCT /Sushil जो पिट रहा है\nस्थान - ओम विहार उत्तम नगर जिम \nसुशील सिपाही #भाजपा नेता संजय गुप्ता का पीएसओ है\nमारने वाला #संजय_गुप्ता का #भाई_रिंकू है जो बॉडी बिल्डर है और जिम चलाता है\n@CPDelhi @LtGovDelhi @DelhiPolice @DCPDwarka @SanjayAzadSln https://t.co/gtnYuYOEOj',",positive
" '@VinodKu51806624 #बीजेपी का असली चमचा शायद पता नही!!',",positive
" 'एक बात समझ में नहीं आई!😎जब चुनाव रैली में #Corona फैलने की बातें बताई (#media)जाती है तो केवल #बीजेपी, #नरेंद्र_मोदी और #अमित_शाह की रैलियों की फोटो भी क्यों दिखाई जाती है क्या #कांग्रेस की #TMC दूसरी पार्टियों की जनसभाओं, रैलीयो में क्या #COVID19 नहीं फैलता?',",positive
" '""""मै जल्दी ही #बीजेपी को जड़ से #उखाड़\nकर फेंक दूंगा: - चुदितराज 🤨🙊🙈\n\nAre ऊई दादा.. मर गया रे! #कमीने पहले\nमेरा तो छोड़ : डॉग विजय सिन\n🙊😜🙈🤣',",negative
" 'नेता अच्छी तरह जानते हैं कि भारतीयों की याददाश्त कमजोर रहती है और एक #जुमले से ही वाह-वाह मोदी कहने लगेगी। भारत में #अंद्धभक्तों की कमी है, क्या? एक को बुलाओ, सैकड़ों आ जायेगें।\n\nआपदा को अवसर में बदलना #बीजेपी अच्छी तरह जानती है।पिछले एक साल का रिकॉर्ड चेक कर लें, आत्मनिर्भर कौन? https://t.co/RjMFx93PCX',",positive
" '@RahulGandhi शाबाश #पप्पूडे अब तू आ गया\nहै तो बंगाल मे #बीजेपी की सरकार\nबनने की 100% गारंटी है छोडना\nमत #मोदीजी को जब तक बंगाल\nकी बागडोर #बीजेपी के हाथ नहीं\nआ जाती',",positive
" '@aajtak @anjanaomkashyap लेकिन बंगाल में तो आएगा मोदी जी ही..\n       क्यों पड़े हो चक्कर में कोई नही है #बीजेपी के टक्कर में।\n\n#बीजेपी_बंगाल\n#Mission220',",positive
" '@yadavakhilesh अभी भी समय है #बीजेपी की वैक्सीन लगवा लो ।💉🙂\nशीघ्र स्वस्थ हों।',",positive
" '#बीजेपी सांसद कौशल किशोर के बाद विधायक अविनाश त्रिवेदी ने भी पंचायत चुनाव स्थगित करने की गुहार लगाई। https://t.co/YaQwTLOVqK',",positive
" '☸\nहिंदुत्व का मुद्दा गौण होता जा रहा पहले उसकी जगह जातिवाद ने ली और अब क्षेत्रवाद ले रही है..! \nइससे ये पता चल रहा कांग्रेस आईटी टीम बीजेपी आईटी टीम से आगे निकल रही..! जागो ग्राहक जागो की तर्ज पर जागो बीजेपी आईटी सेल वालों जागो,मुफ्त की मलाई ना खाओ! 🙏🏻\nहर हर महादेव ❤🚩\n#बीजेपी',",positive
" 'रैली में ममता बनर्जी बोलीं-बीजेपी के लोगों ने बंगाल में फैलाया कोरोना वायरस https://t.co/hRXDmjB0We #mamatabanerjee #bjp #coronavirus #kolkata #ममताबनर्जी #बीजेपी #कोलकाता #westbengalassemblyelections2021 #westbengal',",positive
" 'चुनाव रैलियों के परिणाम में बीजेपी को बढ़त 😂😂😂#बीजेपी https://t.co/n9JazfKVbZ',",positive
" '@CMOfficeUP @ChiefSecyUP @myogiadityanath लखनऊ को संभाले। मरीजों के लिए बिस्तर नही। बीमारों के लिए टेस्ट नही। पॉजिटिव मरीजों के लिए ऑक्सीजन नही। लाशों के।लिए समसान नही। बस रैलियों और इलेक्शन में सब ध्यान लगाकर कोविड नही रुकने वाला। #बीजेपी #BJPFailsIndia #CoronavirusIndia #ModiFailsIndia https://t.co/g2RBhO5sHk',",positive
" '#बीजेपी के फायर ब्रांड लीडर एवं उत्तर प्रदेश के माननीय मुख्यमंत्री आदरणीय गुरु भाई योगी आदित्यनाथ जी के अस्वस्थ होने की सूचना प्राप्त हुई है मां पीतांबरा से कामना करते हैं शीघ्र ही उन्हें स्वास्थ्य लाभ प्राप्त हो# और वह दीर्घायु हो #नर्मदे हर https://t.co/8jupKaVIsC',",positive
" 'जब सरकार #मंदिर और #मस्जिद के लिए चुनोगे और बाद मै #हॉस्पिटल,#स्कूल,#कानून कि मांग करोगे तो परिणाम ऐसे ही आएंगे।\nअभी तो #कोरोना और #बीजेपी ही लूट रही है यदि वक्त रहते जनता नहीं संभली तो परिणाम #अंग्रेजी शासन से भी बुरे होंगे।',",positive
" 'अगर ये न्यूज सही है तो अब #बीजेपी निश्चित हो जाएगी,\n\nउनका स्टार प्रचारक जो आ गया है।😂\n\n#WBWelcomesRahulGandhi 😀😀 https://t.co/NzubXp8Fm4',",negative
" '@yadavakhilesh भैया जिए चाहे मरे लेकिन वोट #बीजेपी को ही देंगे\nये मुल्लो की तरफदारी करता है क्या भरोसा ये जितने के बाद जैसे पहले मुल्लो की सेवा की फ़ेर वही करे',",positive
" '👇\n   मेरा सवाल @yadavakhilesh से है जिस #कोरोना #टेस्टिंग_किट से #कोरोना #टेस्ट कराया है ये #सपा_सरकार ने पहले से बनवा कर रखी थी या #विदेश से मंगवाया है..?\nक्योंकि #भारत में तो कोरोना वैक्सीन कोरोना टेस्टिंग किट सब #बीजेपी की बनाई हुई है..!!\n🤔😏 https://t.co/w8P3jRtCVA',",positive
" '@shaileshINC झूठ, फ़रेब और जालसाजी की पार्टी \n#बीजेपी पार्टी',",positive
" '@Ashokkumarips @saurabhtop @ANI @aajtak @ABPNews @IndiaToday अब तो समझो #बीजेपी मतलब झूट और धोखा। किसी को नहीं छोड़ते बस मिलना चाहिए एक मोका। #देश_बिमार_सुस्त_सरकार',",positive
" 'श्री राम का मैं वंशल्ज,भगवा है मेरा चोला,\nभारत मां के खातिर, भड़के है दिल में शोला,\n                    जय श्री राम\n#देश_की_शान_आरएसएस\n#बीजेपी',",positive
" '@VijayVst0502 पुलिस इंस्पेक्टर अश्विनी कुमार @MamataOfficial के समुदाय विशेष से नहीं आते थे जिनको वो अपना वोट_बैंक मानती है\nसमुदाय विशेष के अलावा कोई भी समुदाय का व्यक्ति खास कर #बीजेपी शासित राज्यों की पुलिस या चुनाव आयोग द्वारा भेजे गए सुरक्षाकर्मियों से तो #ममता_बनर्जी बहुत ही चिढ़ती है',",positive
" '#ग्रामीण छेत्र में #बीजेपी का बहुत विरोध है पूरी तरह से बीजेपी गायब हो रही है जनता त्राहिमाम त्राहिमाम कर रही है और बाबा जी , मोदी जी बंगाल में फेंक रहे है . शर्म कर बहुरूपिया \n@narendramodi\n@myogiadityanath \n@smritiirani',",positive
" 'अपने चुनाव, कुंभ इत्यादि चीजों में लगी ये सरकार को लोगो के मरने का ख्याल तक नहीं रहा है अब इस सरकार को। जिन लोगों ने इसे वहा पहुंचाया है आज उन्ही की लाशों पर चढ़ कर ऊंचाई पर चढ़ती जा रही है।.. नफरत है लोगो को अब इस सरकार से। #बीजेपी',",positive
" 'आप #बीजेपी के नेता ही हो ना?? https://t.co/bCMWRYxBNI https://t.co/zPZXU3Vzmf',",positive
" '@narendramodi @BSF_India बंगाल इलेक्शन के बाद लॉकडॉन होगा लगता है । \n#बीजेपी',",positive
" '@rahulmatai @myogiadityanath गए क्यों थे रैली ख़ुद का भेजा कहा बकरी चराने गया था। खाली #बीजेपी की रैलिया हुई या और पार्टियों की नहीं हुई होगी शायद, बाकि तो कोई चुनाव लड़ ही नही रहा होगा @sardanarohit @chitraaum @MinakshiKandwal @Asthakaushik05 @BJP4India @dineshbjp09',",positive
" 'राजस्थान उपचुनाव में किसका पलड़ा भारी.......\n\n #बीजेपी #कांग्रेस #रलोपा #राजस्थान #उपचुनाव @DrSatishPoonia @GovindDotasra @hanumanbeniwal',",negative
" 'बिहार का स्वास्थ्य  व्यवस्था  #बीजेपी  संभाल रही है @narendramodi  जी फ्री वैक्सीन तो छोड़ो  आपके मंत्री स्वागत करवाते है डॉक्टर से और सामने मरीज के लिए डॉक्टर की कमी हो जाती है',",positive
" '@aajtak घर नहीं महल कहिए पर ये तो #बीजेपी वैक्सीन नही लगवाएंगे ! अगर लगवाएंगे तो इनके चाहने वाले जान जायेंगे की #टीपू_झूठ_बोलता है ?.😉😉😉🤠🤠🤠🤠😜🙂😃😃😃😃😃',",positive
" 'लो @myogiadityanath के बाद #AkhileshYadav जी अब #बीजेपी वैक्सीन लेंगे #टोटी_चोर को भी करोना ने चुम्मा कर लिए पर ये तो शांतिदूत फरिश्तों के सानिध्य में रहते है अल्लाह के फजल से इन्हे तो करोना होना भी नही चाहिए 😉😉😉',",positive
" 'यह तस्वीर है हमरे बिहार के रक्सौल एयरपोर्ट की और यहा के नेता लोग कोई भी आवाज नही उठता है ?#बिहार #एयरपोर्ट #बीजेपी #aijtak #Zeenews @sanjayjaiswalMP @manojkjhadu @TejYadav14 @renu_bjp @NitishKumar https://t.co/xEkCf2WE27',",positive
" 'देखें वीडियो, #बिहार में #कोरोना से #दहशत के बीच #बीजेपी #प्रदेशअध्यक्ष को अब भी लगता है, #राज्य में बहुत कम हैं मामले \n\n@sanjayjaiswalMP @BJP4Bihar @NitishKumar @yadavtejashwi \n\nhttps://t.co/Ed7ttsN4CB',",negative
" '@aajtak राज्य अगर #बीजेपी साशित हो तो ईनकी कलम धड़ल्ले से चलती हे पर अगर राज्य कॉंग्रेस साशित हो तो फिर 👇👇👇 (नमक का क़र्ज़) पेंट गिली गिली हो जाती हे (छत्तीसगढ़) की घटना हे ये. https://t.co/qgTj38qV8M',",positive
" 'नड्डा का ममता पर वार, कहा-TMC के गुंडे हमारी अंबेडकर यात्रा पर करते हैं हमला और तोड़फोड़ \n\n#babasahebbhimraoambedkar #bjp #jpnadda #tmc #westbengal #westbengalgovernment #जेपीनड्डा #टीएमसी #पश्चिमबंगाल #पश्चिमबंगालसरकार #बाबासाहबभीमरावअंबेडकर #बीजेपी \n\nhttps://t.co/0nMJQOheo7',",positive
" '""""#बीजेपी एक मात्र ऐसी पार्टी है जो #गांधीवाद और #अम्बेडकर वाद की बात करती है..\n🤨😣\n\nपरन्तु बीजेपी के #समर्थक...ही उनको #बाल बराबर भी नहीं समझते हैं..\n😅🙈😜😂🙊\n\nनोट:- बाल को बाल ही समझें.....🙊😂🙈😜😅',",positive
" '@INCMP @Being_Humor यहां कोरोना नही फैलेगा सिर्फ #मोदी जी और #बीजेपी के रैली में ही फैलता है 😂😂। @aajtak @AKTKadmin @rohit_chahal @sardanarohit @sudhirchaudhary @SudarshanNewsTV @indiatvnews @ZeeNews @ndtv @PMOIndia @ChouhanShivraj @BJP4India @anjanaomkashyap',",positive
" 'क्या समय आ गया है? क्या इसी समय के लिए हमने पूरी बहुमत से #बीजेपी सरकार को चुना था?\n\nजीवित को अस्पताल नहीं मिल रहा और मृत को श्मशान नहीं।\n#BJPFailsIndia\n#BjpDestroyedIndia #bjpresponsibleforcoronainindia #coronavirus #COVID19 \n@ranvijaylive @PankajPuniaINC @ppbajpai @sanket @ndtv',",positive
" 'क्या बात है #बीजेपी वालों तुम्हारे राज में तो श्मशान में भी लाइन लगानी पड़ रही है..\n#Tika_Vaccination_Utsav #vaccineshortage #VaccineForAll \n@ranvijaylive @sakshijoshii @abhisar_sharma @rohini_sgh @ravishndtv @ndtvindia',",positive
" '@ShobhnaYadava अच्छा शोभा यादव\n\nमगर चैनल पर खबर तो सिर्फ और सिर्फ #बीजेपी और उनके नेताओ के तारीफों की चलेगी https://t.co/Vw9yzsIFhC',",positive
" 'कमल उसी दिमाग में खिलता है , जिसमें गोबर भरा हो ।।🤣🤣🤣 #बीजेपी की गा**ड #मोदी के भक्त',",positive
" 'जीते जी अस्पताल, दवा और निदान नहीं,\nमरणोपरांत शमशान नहीं।\n\n#उत्तमस्वास्थ्य \n#कोरोना_संक्रमण \n#बीजेपी\n#मोदी_मतलब_देश_चौपट',",positive
" '@narendramodi #बीजेपी सांसद कौशल किशोर ने यूपी में कल से शुरु हो रहे पंचायत चुनावों को तुरंत रद्द करने की मांग की! कौशल किशोर के मुताबिक़ कोरोना के कारण हालात भयावह हैं, लाशों के ढेर लगे हैं ऐसे में चुनाव नहीं होने चाहिये! @ABPNews',",negative
" 'पटना महानगर एवं बांकीपुर के वरिष्ठ पदाधिकारियों के साथ जन्मदिन उत्सव में सम्मिलित होते हुए\n#birthday \n#बीजेपी \n#patna https://t.co/CDZzoLEFnd',",positive
" '@myogiadityanath आप चुनावी सभाएं और कुंभ भी virtually ही नहा कर आते महाराज। लोग तो मरते ही रहते हैं। सरकार का काम है टैक्स लेना और उस पैसे का अपने अधिकारियो के साथ मजे करना। प्रभु श्री राम थोड़ी कृपा #बीजेपी #BJP शीर्ष नेताओ पर भी करे #COVID19 के माध्यम से।',",positive
" 'योगी महोदय आप प्रदेश तो संभाल नहीं पा रहे हैं और आप के मंत्री कह रहे हैं एग्जाम होगा पहले आप प्रदेश संभालिए और प्रदेश वासियों को सुरक्षित करिए तभी परीक्षा करवाइए नहीं तो हर एक विद्यार्थी अब एक विशाल आंदोलन करेगा @UPGovt \n#upboardexam2021 #बीजेपी @drdineshbjp @myogiadityanath',",positive
" '@chitraaum चित्रा जी #बीजेपी की प्रवक्ता बन जाइये,\nज्यादा अच्छा रहेगा',",positive
" '#महाराणा #प्रताप जी के बारे में #कटारिया के फूहड़पन हरकते अब नेशनल न्यूज बनी जो #बीजेपी के लिए इस नेता ने एक बड़े वोट बैंक को नाराज किया है। #News #Maharana #Pratap @JPNadda @BJP4Rajasthan @ArunSinghbjp @KumariRukshmani @PSKhachariyawas @ks_uchiyarda',",positive
" 'बंगाल: BJP को मिला फुटबॉलर अरिंदम भट्टाचार्य का साथ, मिथुन की मौजूदगी में ज्वाइन की पार्टी https://t.co/nXfaAJjnCf #westbengalassemblyelections2021 #westbengal #bjp #mithunchakraborty #पश्चिमबंगाल #बीजेपी',",positive
" '@AamAadmiParty  और      @BJP4India  में से किसे पसंद करते हैं आप । देश जानना चाहता है।\n\nलाइक #बीजेपी \nरिट्वीट #आम_आदमी_पार्टी',",negative
" '#शर्मनाक ।। \nलाशों पर भी झूठ बोलते हैं ये #बीजेपी वाले....\nउत्तर प्रदेश, मध्य प्रदेश और गुजरात की सरकारें अपने लोगों को समुचित इलाज तो दे नहीं पा रहे उलटा कोरोना से हुई मौतों का आंकड़ा भी छुपा रहे हैं!!',",positive
" 'फैसला भारत की और बंगाल की जनता करेगी। अपने जनमत के अधिकार से \n\nकार्यकर्ता को मारकर उस पर लिख दिया गया कि जो भी #बीजेपी का होगा उसका यही अंजाम होगा \n\nमुख्यमंत्री के रहते हुए ऐसे हालात पैदा होते हैं तो उसे कुर्सी पर बने रहने का कोई नैतिक अधिकार नही होता है। https://t.co/BqErEE8Oml',",positive
" 'पूरे देश ने कोरोना के लिए #मोदीजी को #चंदा दिया देश को बचाने के लिए \n#कोविड के टीके के लिए \nटिका बेच दिया दूसरों को मोदी जी ने \nकोरोना काल में #पेट्रोल_डीजल महंगा बेचकर खूब पैसा बनाया #बीजेपी ने फिर #चंदे वाला पैसा कहाँ गया #मोदीजी\n#नहीं_चाहिए_भाजपा',",negative
" 'बिहार में सरकार, पूरे भारत एम लगभग #बीजेपी की सरकार, लेकिन #बिहार का विकाश #बंगाल से अटका हुआ है,\nकहा से आते है ऐसे नेता 🤣😂🤣😂🤣 https://t.co/vJC3nXqJ0O',",positive
" '@BaghiBaan @entropied जो ७० साल से बिना आरक्षण के #रोटी नही खा सकते अब वो #ऋषि_मुनियों को #एससी/एसटी घोषित करने में लग गए है,\nक्या #राष्ट्रपति दलित है, तो #बीजेपी कहेगी ६ साल से जो हुआ है देश में वो #राष्ट्रपति ने किया है, #चेयरमैन बना देने से आप किसी का कार्य अपने उप्पर कैसे ले सकते है',",positive
" 'बंगाल पर शासन करना #बीजेपी \nके लिए एक सपना ही साबित होगा https://t.co/pYhm27EJto',",positive
" '#भारत में जहां, जहां भी #कोरोना ज्यादा फैल रहा\n हो,\n\nवहां, वहां #बीजेपी की रैली करवा दो ,\n\n #कोरोना अपने आप ही भाग जायेगा,🤓🤒🤪',",negative
" 'अच्छे दिन कब आएंगे?🙏😭#बीजेपी #BJP #modi_rojgar_दो #modiji',",positive
